"","date","year","month","temp","logRainfall"
"78","1981-6-15",1981,6,6.33333333333333,3.37852738316255
"79","1981-7-15",1981,7,8.13333333333333,3.86220885506495
"80","1981-8-15",1981,8,9.96666666666667,4.14076575356456
"81","1981-9-15",1981,9,5.23333333333333,4.48306265480885
"82","1981-10-15",1981,10,-1.26666666666667,4.15149694795145
"83","1981-11-15",1981,11,-2.56666666666667,3.89416795734811
"84","1981-12-15",1981,12,-4.36666666666667,4.07814832973043
"85","1982-1-15",1982,1,-3.93333333333333,3.72981495275134
"86","1982-2-15",1982,2,0.133333333333333,3.80266742064597
"87","1982-3-15",1982,3,-1.5,3.54417800264201
"88","1982-4-15",1982,4,1.43333333333333,2.56344221597586
"89","1982-5-15",1982,5,2.03333333333333,3.64213116645893
"90","1982-6-15",1982,6,8.1,1.91613488272795
"91","1982-7-15",1982,7,10.4333333333333,3.60870221598469
"92","1982-8-15",1982,8,7.66666666666667,4.15651593963233
"93","1982-9-15",1982,9,3.63333333333333,3.73476434805627
"94","1982-10-15",1982,10,2.63333333333333,4.62824552682094
"95","1982-11-15",1982,11,-2.4,3.73559915216427
"96","1982-12-15",1982,12,-3.46666666666667,3.87755767065593
"97","1983-1-15",1983,1,-4.23333333333333,3.99642765814655
"98","1983-2-15",1983,2,-0.0999999999999999,2.90971021821597
"99","1983-3-15",1983,3,-2.93333333333333,3.84162309605162
"100","1983-4-15",1983,4,-3.4,3.99778084782682
"101","1983-5-15",1983,5,1.8,2.95312094287148
"102","1983-6-15",1983,6,7.26666666666667,4.05543729959728
"103","1983-7-15",1983,7,9.33333333333333,3.96481798313078
"104","1983-8-15",1983,8,9.03333333333333,4.18891778583806
"105","1983-9-15",1983,9,3.73333333333333,3.54079484971542
"106","1983-10-15",1983,10,0.766666666666667,4.62571750229133
"107","1983-11-15",1983,11,-1.06666666666667,3.93126203606052
"108","1983-12-15",1983,12,-2.83333333333333,3.63911004903872
"109","1984-1-15",1984,1,-5.63333333333333,3.56155059498462
"110","1984-2-15",1984,2,-0.866666666666667,3.77616500670622
"111","1984-3-15",1984,3,-0.566666666666667,3.01293234605227
"112","1984-4-15",1984,4,2.9,3.60570972491702
"113","1984-5-15",1984,5,5.2,3.52236378220084
"114","1984-6-15",1984,6,9.13333333333333,3.19471633593878
"115","1984-7-15",1984,7,11.7666666666667,3.28771961413494
"116","1984-8-15",1984,8,11.0666666666667,3.27272631221343
"117","1984-9-15",1984,9,5.33333333333333,3.59931172055032
"118","1984-10-15",1984,10,1.1,4.33515976558993
"119","1984-11-15",1984,11,-1.06666666666667,3.45692526016536
"120","1984-12-15",1984,12,-0.633333333333333,3.40789087136638
"121","1985-1-15",1985,1,-3.36666666666667,3.23565560534492
"122","1985-2-15",1985,2,-2.5,2.31116854910653
"123","1985-3-15",1985,3,-2.46666666666667,3.36497591337233
"124","1985-4-15",1985,4,0.266666666666667,3.1913318960365
"125","1985-5-15",1985,5,5.36666666666667,3.43157420494837
"126","1985-6-15",1985,6,7.7,3.65122201797798
"127","1985-7-15",1985,7,8.33333333333333,4.39990417528999
"128","1985-8-15",1985,8,7.03333333333333,4.53853136332695
"129","1985-9-15",1985,9,3.93333333333333,3.50663421158929
"130","1985-10-15",1985,10,4.66666666666667,3.81009370374867
"131","1985-11-15",1985,11,-2.8,2.70243252889934
"132","1985-12-15",1985,12,-4.83333333333333,3.56365163670374
"133","1986-1-15",1986,1,-2.4,3.89329839243443
"134","1986-2-15",1986,2,-2.33333333333333,-0.852665968292347
"135","1986-3-15",1986,3,-0.833333333333333,4.10452671457699
"136","1986-4-15",1986,4,0.833333333333333,3.31686405162201
"137","1986-5-15",1986,5,2,3.61575620844529
"138","1986-6-15",1986,6,9.46666666666667,3.51052803692624
"139","1986-7-15",1986,7,8.8,3.67908179313525
"140","1986-8-15",1986,8,8.9,2.19319049647019
"141","1986-9-15",1986,9,4.73333333333333,3.26876513104737
"142","1986-10-15",1986,10,0.533333333333333,3.6994122984654
"143","1986-11-15",1986,11,-1.46666666666667,4.07643829565574
"144","1986-12-15",1986,12,-2.73333333333333,3.24018245206867
"145","1987-1-15",1987,1,0.7,1.72005120463025
"146","1987-2-15",1987,2,-2.43333333333333,3.22758370025881
"147","1987-3-15",1987,3,-1.63333333333333,3.20818880263187
"148","1987-4-15",1987,4,3.2,3.09834131916217
"149","1987-5-15",1987,5,6.46666666666667,2.08784369737185
"150","1987-6-15",1987,6,7.8,3.2187788968776
"151","1987-7-15",1987,7,10.7333333333333,4.09099544299359
"152","1987-8-15",1987,8,9.1,2.64805259634835
"153","1987-9-15",1987,9,5.76666666666667,4.26398761624499
"154","1987-10-15",1987,10,0.9,4.37798503698534
"155","1987-11-15",1987,11,2.7,3.68022208848951
"156","1987-12-15",1987,12,0.166666666666667,3.74392485364773
"157","1988-1-15",1988,1,-5.73333333333333,3.7085017754796
"158","1988-2-15",1988,2,-3.66666666666667,3.47797983758501
"159","1988-3-15",1988,3,-3.93333333333333,3.22089923345878
"160","1988-4-15",1988,4,-3.2,3.5197751730037
"161","1988-5-15",1988,5,4.8,3.16689254611436
"162","1988-6-15",1988,6,10,2.94834821505299
"163","1988-7-15",1988,7,9.03333333333333,4.3221752985144
"164","1988-8-15",1988,8,9.93333333333333,4.26825527438722
"165","1988-9-15",1988,9,5.56666666666667,4.68340532024227
"166","1988-10-15",1988,10,1.73333333333333,3.43321647533614
"167","1988-11-15",1988,11,-0.0333333333333333,3.21880086632447
"168","1988-12-15",1988,12,-2,3.63708085536185
"169","1989-1-15",1989,1,-2.06666666666667,3.84581773498943
"170","1989-2-15",1989,2,-4.9,4.24326643374034
"171","1989-3-15",1989,3,-3.03333333333333,4.17247275739502
"172","1989-4-15",1989,4,-0.733333333333333,3.83714750317812
"173","1989-5-15",1989,5,3.06666666666667,2.91438221579151
"174","1989-6-15",1989,6,8.03333333333333,2.55633780490526
"175","1989-7-15",1989,7,10.6666666666667,3.79811735953118
"176","1989-8-15",1989,8,8.9,4.28232859018757
"177","1989-9-15",1989,9,5.93333333333333,4.30582778467875
"178","1989-10-15",1989,10,2.86666666666667,3.23321811485287
"179","1989-11-15",1989,11,-0.8,3.71467371247968
"180","1989-12-15",1989,12,-2.03333333333333,3.18169964895574
"181","1990-1-15",1990,1,-1.1,4.52765341642191
"182","1990-2-15",1990,2,-3.23333333333333,4.38605115253968
"183","1990-3-15",1990,3,-4.06666666666667,3.79758513796211
"184","1990-4-15",1990,4,-1.9,3.08560697179032
"185","1990-5-15",1990,5,5.73333333333333,2.56248651862254
"186","1990-6-15",1990,6,8.4,3.50080426743869
"187","1990-7-15",1990,7,11.6,3.21888508796412
"188","1990-8-15",1990,8,9.33333333333333,3.84843587306313
"189","1990-9-15",1990,9,6.1,4.30035418811709
"190","1990-10-15",1990,10,2.56666666666667,4.1879173243708
"191","1990-11-15",1990,11,0.8,3.42245935384816
"192","1990-12-15",1990,12,-1.76666666666667,3.02673306248877
"193","1991-1-15",1991,1,0.233333333333333,3.52812563604909
"194","1991-2-15",1991,2,-1,2.59634948669347
"195","1991-3-15",1991,3,0.533333333333333,4.23880166905844
"196","1991-4-15",1991,4,-1.26666666666667,3.21416370921607
"197","1991-5-15",1991,5,6.9,3.90121171368535
"198","1991-6-15",1991,6,6.83333333333333,3.27897788141679
"199","1991-7-15",1991,7,12,3.87101835718457
"200","1991-8-15",1991,8,10.4333333333333,3.43576898464706
"201","1991-9-15",1991,9,5.6,4.16461482722701
"202","1991-10-15",1991,10,3.46666666666667,4.45599374573283
"203","1991-11-15",1991,11,-1.53333333333333,4.4525371248276
"204","1991-12-15",1991,12,-0.933333333333333,2.26596916277396
"205","1992-1-15",1992,1,1.53333333333333,3.34117286940199
"206","1992-2-15",1992,2,-2.36666666666667,3.56102347161421
"207","1992-3-15",1992,3,-2,3.41859656513213
"208","1992-4-15",1992,4,0.3,2.5055978120433
"209","1992-5-15",1992,5,5.1,2.95888948422225
"210","1992-6-15",1992,6,8.46666666666667,3.78514935350207
"211","1992-7-15",1992,7,8.63333333333333,3.98613740090372
"212","1992-8-15",1992,8,8.43333333333333,4.39334589773208
"213","1992-9-15",1992,9,5.5,4.25500366164029
"214","1992-10-15",1992,10,2.53333333333333,3.78164944106859
"215","1992-11-15",1992,11,-1.36666666666667,4.31569856378542
"216","1992-12-15",1992,12,-1.8,4.42257099830631
"217","1993-1-15",1993,1,-4.93333333333333,4.25392282177402
"218","1993-2-15",1993,2,-1.1,3.08710508154959
"219","1993-3-15",1993,3,-0.566666666666667,3.27796055657491
"220","1993-4-15",1993,4,1.56666666666667,2.69718741609297
"221","1993-5-15",1993,5,3.86666666666667,3.56910338851437
"222","1993-6-15",1993,6,6.73333333333333,3.76820238833015
