"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"15",NA,NA,NA,NA,NA,1,1.67,2.55383333333333,2.804,2.85366666666667,2.887,2.90833333333333,2.928,2.94966666666667,2.96433333333333,2.973,2.98016666666667,2.98983333333333,2.997,2.99883333333333,2.99983333333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"16",NA,NA,NA,NA,NA,1,1.58866666666667,2.386,2.61933333333333,2.66783333333333,2.728,2.81416666666667,2.89233333333333,2.93566666666667,2.96133333333333,2.97316666666667,2.9825,2.99416666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1.00016666666667,1.00883333333333,2,2.99116666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.629,2.481,2.735,2.78066666666667,2.832,2.88833333333333,2.926,2.96066666666667,2.989,2.99733333333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.747,2.7045,2.94133333333333,2.97316666666667,2.992,2.9995,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.643,2.50816666666667,2.7605,2.80066666666667,2.82883333333333,2.8585,2.89683333333333,2.92333333333333,2.93933333333333,2.959,2.97616666666667,2.98883333333333,2.9975,2.9995,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.68116666666667,2.6155,2.90283333333333,2.94383333333333,2.96166666666667,2.9725,2.98533333333333,2.9955,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.7055,2.6305,2.88933333333333,2.92833333333333,2.94783333333333,2.963,2.97733333333333,2.99066666666667,2.997,2.99866666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.72583333333333,2.68133333333333,2.94066666666667,2.97416666666667,2.99066666666667,2.998,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.72566666666667,2.67383333333333,2.933,2.96416666666667,2.97133333333333,2.97933333333333,2.99266666666667,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
