Ring_No,Ringed_date,Ringed_day,Ringed_month,Ringed_year,EurAgeCode,EurAgeText,SEX
117845,6/25/1999,25,6,1999,1,Pullus,F
117846,6/25/1999,25,6,1999,1,Pullus,F
117847,6/26/1999,26,6,1999,1,Pullus,F
117848,6/26/1999,26,6,1999,1,Pullus,F
117849,6/26/1999,26,6,1999,1,Pullus,F
117850,6/27/1999,27,6,1999,1,Pullus,F
117901,6/19/2000,19,6,2000,1,Pullus,F
117902,6/19/2000,19,6,2000,1,Pullus,F
117903,6/23/2000,23,6,2000,1,Pullus,0
117904,6/23/2000,23,6,2000,1,Pullus,0
117905,6/23/2000,23,6,2000,1,Pullus,0
117906,6/24/2000,24,6,2000,1,Pullus,F
117907,6/24/2000,24,6,2000,1,Pullus,F
117908,6/24/2000,24,6,2000,1,Pullus,F
117909,6/24/2000,24,6,2000,1,Pullus,F
117910,6/25/2000,25,6,2000,1,Pullus,F
117911,6/19/2000,19,6,2000,1,Pullus,F
117912,6/19/2000,19,6,2000,1,Pullus,F
117913,6/20/2000,20,6,2000,1,Pullus,F
117914,6/20/2000,20,6,2000,1,Pullus,F
117915,6/20/2000,20,6,2000,1,Pullus,F
117916,6/21/2000,21,6,2000,1,Pullus,F
117917,6/21/2000,21,6,2000,1,Pullus,F
117918,6/25/2000,25,6,2000,1,Pullus,0
117919,6/25/2000,25,6,2000,1,Pullus,0
117920,6/25/2000,25,6,2000,1,Pullus,0
117921,6/25/2000,25,6,2000,1,Pullus,0
117922,6/25/2000,25,6,2000,1,Pullus,F
117923,6/25/2000,25,6,2000,1,Pullus,F
117924,6/26/2000,26,6,2000,1,Pullus,0
117925,6/26/2000,26,6,2000,1,Pullus,0
117926,6/26/2000,26,6,2000,1,Pullus,0
117927,6/28/2000,28,6,2000,1,Pullus,0
117928,6/28/2000,28,6,2000,1,Pullus,0
117929,6/28/2000,28,6,2000,1,Pullus,0
117930,6/28/2000,28,6,2000,1,Pullus,0
117931,6/28/2000,28,6,2000,1,Pullus,0
117932,6/29/2000,29,6,2000,1,Pullus,F
117933,6/29/2000,29,6,2000,1,Pullus,F
117935,6/19/2001,19,6,2001,1,Pullus,F
117936,6/19/2001,19,6,2001,1,Pullus,F
117937,6/19/2001,19,6,2001,1,Pullus,F
117938,6/22/2001,22,6,2001,1,Pullus,F
117939,6/25/2001,25,6,2001,1,Pullus,F
117940,6/25/2001,25,6,2001,1,Pullus,F
117941,6/25/2001,25,6,2001,1,Pullus,F
117942,6/25/2001,25,6,2001,1,Pullus,F
117943,6/26/2001,26,6,2001,1,Pullus,F
117944,6/26/2001,26,6,2001,1,Pullus,F
117945,6/28/2001,28,6,2001,1,Pullus,F
117946,6/28/2001,28,6,2001,1,Pullus,F
117947,6/21/2002,21,6,2002,1,Pullus,F
117948,6/21/2002,21,6,2002,1,Pullus,F
117949,6/23/2002,23,6,2002,1,Pullus,F
117950,6/24/2002,24,6,2002,1,Pullus,F
118501,6/28/1993,28,6,1993,1,Pullus,0
118502,6/28/1993,28,6,1993,1,Pullus,0
118504,7/1/1998,1,7,1998,1,Pullus,0
118505,7/1/1998,1,7,1998,1,Pullus,0
118511,6/19/1994,19,6,1994,1,Pullus,M
118512,6/19/1994,19,6,1994,1,Pullus,M
118951,6/24/1996,24,6,1996,1,Pullus,M
118952,6/26/1996,26,6,1996,1,Pullus,M
118953,6/26/1996,26,6,1996,1,Pullus,M
118954,6/26/1996,26,6,1996,1,Pullus,M
118955,6/27/1996,27,6,1996,1,Pullus,M
118956,6/27/1996,27,6,1996,1,Pullus,M
118957,6/28/1996,28,6,1996,1,Pullus,M
118958,6/28/1996,28,6,1996,1,Pullus,M
118959,6/11/1997,11,6,1997,1,Pullus,0
118960,6/20/1997,20,6,1997,1,Pullus,0
118961,6/20/1997,20,6,1997,1,Pullus,0
118962,6/20/1997,20,6,1997,1,Pullus,0
118963,6/20/1997,20,6,1997,1,Pullus,0
118964,6/20/1997,20,6,1997,1,Pullus,0
118965,6/21/1997,21,6,1997,1,Pullus,0
118966,6/21/1997,21,6,1997,1,Pullus,0
118967,6/22/1997,22,6,1997,1,Pullus,0
118968,6/22/1997,22,6,1997,1,Pullus,0
118969,6/22/1997,22,6,1997,1,Pullus,0
118970,6/22/1997,22,6,1997,1,Pullus,0
118971,6/22/1997,22,6,1997,1,Pullus,0
118972,6/23/1997,23,6,1997,1,Pullus,0
118973,6/23/1997,23,6,1997,1,Pullus,0
118974,6/23/1997,23,6,1997,1,Pullus,0
118975,6/24/1997,24,6,1997,1,Pullus,0
118976,6/24/1997,24,6,1997,1,Pullus,0
118977,6/25/1997,25,6,1997,1,Pullus,0
118978,6/25/1997,25,6,1997,1,Pullus,0
118979,6/25/1997,25,6,1997,1,Pullus,0
118980,6/26/1997,26,6,1997,1,Pullus,0
118981,6/27/1997,27,6,1997,1,Pullus,0
118982,6/27/1997,27,6,1997,1,Pullus,0
118983,6/27/1997,27,6,1997,1,Pullus,0
118984,6/28/1997,28,6,1997,1,Pullus,0
118985,6/28/1997,28,6,1997,1,Pullus,0
118986,6/7/1998,7,6,1998,1,Pullus,0
118987,6/7/1998,7,6,1998,1,Pullus,0
118988,6/7/1998,7,6,1998,1,Pullus,0
118989,6/7/1998,7,6,1998,1,Pullus,0
118990,6/8/1998,8,6,1998,1,Pullus,0
118991,6/8/1998,8,6,1998,1,Pullus,0
118992,6/22/1998,22,6,1998,1,Pullus,M
118993,6/22/1998,22,6,1998,1,Pullus,M
118994,6/22/1998,22,6,1998,1,Pullus,M
118995,6/23/1998,23,6,1998,1,Pullus,M
118996,6/23/1998,23,6,1998,1,Pullus,M
118997,6/24/1998,24,6,1998,1,Pullus,M
118998,6/25/1998,25,6,1998,1,Pullus,M
118999,6/25/1998,25,6,1998,1,Pullus,M
119000,6/25/1998,25,6,1998,1,Pullus,M
119351,6/25/2003,25,6,2003,1,Pullus,M
119352,6/25/2003,25,6,2003,1,Pullus,M
119353,6/25/2003,25,6,2003,1,Pullus,M
119354,6/26/2003,26,6,2003,1,Pullus,M
119355,6/26/2003,26,6,2003,1,Pullus,M
119356,6/26/2003,26,6,2003,1,Pullus,M
119357,6/27/2003,27,6,2003,1,Pullus,M
119358,6/27/2003,27,6,2003,1,Pullus,M
